spec,predictor,coef,se,pval,R2,N
month_index + cell_FE,Month index,-0.00932626657052453,0.000542220150759269,2.6485644222647744e-66,0.01995687523102041,20506
N_comp + cell+month FE,Mean N_competitive,-0.03559075910180598,0.0010707228186515156,2.853191345698702e-242,0.048051840562938986,20506
