trigger,activation_rate,n_triggered,top_frag_decile_activation,overlap_with_qfloor,median_gap_proxy_usd_triggered
Quality floor (baseline),0.21029133619247026,135088,0.14355994251728152,1.0,1.015976546173908
Depth < 0.50 (fragility > 0.5),0.24597710095970485,158012,1.0,0.161101688479356,4.062469032712097
Depth < 0.25 (fragility > 0.75),0.19747036434536921,126852,1.0,0.15324157285655723,6.214352972590766
Cell historical depth Q25,0.1973909727032854,126801,0.3594767813873475,0.3071978927610981,11.224943327410818
