config,activation_rate,mean_delta_rent_usd,active_delta_rent
baseline,0.2261912339439614,-1.832645338934392,-8.102194355544421
tau=0.10,0.1543512023729202,-1.1579979713971003,-7.502357957661512
tau=0.20,0.20337861061958168,-1.6108999940583701,-7.920695244946614
tau=0.40,0.290759105317429,-2.6669375292049526,-9.172326783346614
delta_down=0.02,0.2319007549043321,-1.9864814546466079,-8.566084467754782
delta_down=0.10,0.2250168675925808,-1.7736468782840507,-7.882284102787549
eta=0.05,0.2291382887986455,-1.8818616748302859,-8.212777029525453
eta=0.20,0.2248831998777895,-1.8226181815689784,-8.10473251251966
