subset,n_auctions,frac_fragile_50,frac_fragile_75,median_fragility,mean_n_competitive,median_score_gap_bps,median_score_diff_usd,coverage_volume_usd,coverage_score_gap_bps
all,802816,0.25286865234375,0.20244489397321427,0.08619328731429865,2.716479243064413,1.213039094292786,1.023886334056832,0.6149017956792092,0.6149017956792092
blue_chip,182417,0.32060060191758444,0.27339557168465656,0.09181637696367095,3.1778233388335515,0.28581620169937044,1.079282662800977,0.9692627331882445,0.9692627331882445
long_tail,620399,0.23295330908012424,0.18158314246154492,0.08513223476505838,2.5808294339610476,2.5613710365109768,1.009972852420352,0.5107084311870265,0.5107084311870265
small,200704,0.6308543925382653,0.5468600526147959,0.9378858433743225,1.1308942522321428,1.290776937988583,0.34251636870814006,0.6264498963647959,0.6264498963647959
large,200704,0.11592693718112244,0.07841896524234694,0.037997326810314314,3.0722706074617347,1.283122978963155,1.5501422006429946,0.5830974968112245,0.5830974968112245
