spec,N,R2,coef_lag1,se_lag1,p_lag1
bivariate,727784,0.4056547332130125,0.7993474808292667,0.0012882201569070068,0.0
+controls,727784,0.6393233698403629,0.29494112427849994,0.0016733206969207501,0.0
