spec,controls,coef_blue,se,pval,R2,N
(1) Bivariate,none,0.08764729283763867,0.001217409785591404,0.0,0.007139855462304667,802816
(2) + size FE,size_bucket,0.056860518504534684,0.0009879102389318715,0.0,0.2725599279595091,802816
(3) + month FE + N_comp,size + month + N_comp,0.07165705246341886,0.0009626818113777548,0.0,0.3198698770810853,802816
(4) + cell HHI,size + month + N_comp + HHI,0.07437554634899995,0.0010015766234465655,0.0,0.31992626894952125,802816
(5) + winner-solver FE,size + month + N_comp + HHI + solver_FE,0.1431063736531992,0.0011178688865725937,0.0,0.17372420759050067,802816
