frag_dec,mean_fragility,median_fragility,median_solver_rent_usd,mean_solver_rent_usd,median_score_gap_bps,median_score_diff_usd,n_auctions
0,0.0011058124971843042,0.0010037622456793294,0.24306344735389007,1.4195159306634209,0.07256166036411624,0.24306344735389007,68084
1,0.00502598063415887,0.004900291096865794,0.6771505495021235,3.922098255367492,0.3193336979765799,0.6771505495021235,68084
2,0.011877916147383559,0.011691797817384664,0.9251498081912815,8.027907593483269,0.6901616935566203,0.9251498081912815,68084
3,0.023022969919728926,0.02272979515075818,1.056886412374099,11.738169999994462,1.2234698307772618,1.056886412374099,68084
4,0.04097076971150037,0.040506433862596836,1.0548491968071532,14.002284930955074,1.8929573255874108,1.0548491968071532,68084
5,0.0704710029933449,0.06966217489374016,1.0999587702795308,16.225842254333834,2.784671610473585,1.0999587702795308,68083
6,0.12191718781272196,0.12020872549356004,1.1545315948433632,18.08714930531475,2.9913707499232434,1.1545315948433632,68084
7,0.2198794157270437,0.21599086171692422,1.4280911134275704,19.477197150784985,2.847328069639944,1.4280911134275704,68084
8,0.41678801918849484,0.40974753329633123,2.1300438189637196,23.631708377432602,4.109687245266933,2.1300438189637196,68084
9,0.7976956252771826,0.7996630266634541,4.328643172552167,42.93740632070075,5.777930388571527,4.328643172552167,68084
