sample,n,share,median_fragility,frac_fragile_50,mean_n_competitive,blue_chip_share,small_share
full,802816,1.0,0.08619328731429865,0.25286865234375,2.716479243064413,0.22722143056441327,0.25
usd_covered,493653,0.6149017956792092,0.0840408371469622,0.2657271403192121,2.8587793450055,0.35816656639380295,0.2546950995942494
usd_uncovered,309163,0.38509820432079084,0.08921972088389363,0.23233698728502442,2.4892629454365496,0.018136064147391506,0.24250314558986683
