replay_mode,n_eval,reserve_activation_rate,winner_change_rate,mean_delta_rent_usd,median_delta_rent_usd,mean_delta_rent_usd_active,theorem1_holds_frac
mechanical,642297,0.21027032665573714,0.21027032665573714,-1.5717027558934993,0.0,-7.474676911815297,
behavior_aware,642297,0.21027032665573714,0.21027032665573714,-5.806680213134073,-0.35229607863157797,-8.318911948925642,
adversarial,642253,0.6619758880067512,,,,,1.0
